[/share/ZFS37_DATA/share/Container/krakenbot] # docker exec -it kraken-bot-db psql -U krakenbot -d krakenbot -c "
> SELECT pair, type, price, amount, executed_at, trade_id, kraken_order_id
 - INTERVAL '2 d> FROM trades
> WHERE executed_at > NOW() - INTERVAL '2 days'
> ORDER BY executed_at DESC
> LIMIT 50;"
  pair   | type |     price      |   amount    |       executed_at       |          trade_id          |   kraken_order_id
---------+------+----------------+-------------+-------------------------+----------------------------+---------------------
 ETH/USD | buy  |  2979.35000000 |  0.02517328 | 2025-12-20 20:20:38.252 | KRAKEN-TP6REN-PNHBG-N3V4GE | TP6REN-PNHBG-N3V4GE
 ETH/USD | buy  |  2979.35000000 |  0.02517328 | 2025-12-20 20:20:38.106 | AUTO-1766262038106         | O44CSM-NNBFL-KJ5NNA
 BTC/USD | buy  | 88237.00000000 |  0.00084998 | 2025-12-20 20:20:37.742 | KRAKEN-TVGVXA-EXTMB-ICKOZ7 | TVGVXA-EXTMB-ICKOZ7
 BTC/USD | buy  | 88237.00000000 |  0.00084998 | 2025-12-20 20:20:37.597 | AUTO-1766262037597         | OXS3ZW-QUBBS-ZYSARK
 ETH/USD | buy  |  2978.60000000 |  0.02517961 | 2025-12-20 20:15:15.682 | KRAKEN-T2HMMV-ONBL6-QQV3TD | T2HMMV-ONBL6-QQV3TD
 ETH/USD | buy  |  2978.60000000 |  0.02517961 | 2025-12-20 20:15:15.543 | AUTO-1766261715543         | O2Q2YP-5OROB-L37DL2
 BTC/USD | buy  | 88224.10000000 |  0.00085011 | 2025-12-20 20:15:14.873 | KRAKEN-TG6LWY-GW2UP-KPBJF4 | TG6LWY-GW2UP-KPBJF4
 BTC/USD | buy  | 88224.10000000 |  0.00085011 | 2025-12-20 20:15:14.733 | AUTO-1766261714733         | OOY2HQ-XPL5U-ZENUZP
 BTC/USD | sell | 88094.80000000 |  0.00085022 | 2025-12-20 16:45:19.189 | AUTO-1766249119189         | OJGYZW-GYGGF-ZDGFOM
 BTC/USD | sell | 88094.70490000 |  0.00085022 | 2025-12-20 16:45:19.156 | KRAKEN-TZJPYU-OFG4D-AXWCOD | TZJPYU-OFG4D-AXWCOD
 BTC/USD | sell | 88068.00000000 |  0.00085022 | 2025-12-20 15:30:19.264 | AUTO-1766244619264         | OY4JAZ-K6OZE-X4IYZK
 BTC/USD | sell | 88067.90000000 |  0.00085022 | 2025-12-20 15:30:19.063 | KRAKEN-TGFE45-BSKEB-FV3CVE | TGFE45-BSKEB-FV3CVE
 BTC/USD | buy  | 88166.80000000 |  0.00085082 | 2025-12-20 13:45:23.366 | KRAKEN-TKUOXY-ZWNQY-72PMDR | TKUOXY-ZWNQY-72PMDR
 BTC/USD | buy  | 88150.70000000 |  0.00085082 | 2025-12-20 13:45:22.923 | AUTO-1766238322923         | OSEUGO-NTKAF-YEOVR4
 ETH/USD | sell |  2976.01000000 |  0.02510326 | 2025-12-20 13:15:23.465 | KRAKEN-TLWJT4-VLDWW-O7ZV5G | TLWJT4-VLDWW-O7ZV5G
 ETH/USD | sell |  2976.02000000 |  0.02510326 | 2025-12-20 13:15:23.042 | AUTO-1766236523042         | OLPTY5-5C73E-VIV4D2
 ETH/USD | buy  |  2987.70678000 |  0.02510326 | 2025-12-20 13:00:23.381 | KRAKEN-TRZTEV-X3MGP-Y4IFSZ | TRZTEV-X3MGP-Y4IFSZ
 ETH/USD | buy  |  2987.66000000 |  0.02510326 | 2025-12-20 13:00:22.969 | AUTO-1766235622969         | OBMDXM-Q44UY-JPKG7I
 BTC/USD | buy  | 88212.09805000 |  0.00085022 | 2025-12-20 11:30:26.035 | KRAKEN-TWLRFE-ZS6MH-CYRTND | TWLRFE-ZS6MH-CYRTND
 BTC/USD | buy  | 88212.10000000 |  0.00085022 | 2025-12-20 11:30:25.69  | AUTO-1766230225690         | OXZWXO-A5HE7-NGX53G
 SOL/USD | sell |   126.05000000 |  0.59599491 | 2025-12-20 10:30:26.01  | KRAKEN-T56IPX-JYZI6-2XEBWZ | T56IPX-JYZI6-2XEBWZ
 SOL/USD | sell |   126.02000000 |  0.59599491 | 2025-12-20 10:30:25.709 | AUTO-1766226625709         | O6DRRA-ST37Z-O4KWYL
 BTC/USD | sell | 88183.70000000 |  0.00085153 | 2025-12-20 04:00:24.543 | KRAKEN-TFP4UP-BHGFL-GOJQLY | TFP4UP-BHGFL-GOJQLY
 BTC/USD | sell | 88183.80000000 |  0.00085153 | 2025-12-20 04:00:24.526 | AUTO-1766203224526         | OV4RNM-BGCBN-K5JYJG
