fold,pair,lotId,e0ExitReason,e0ClosedAtMs,e0NetPnlUsd,cohortExitReason,cohortClosedAtMs,cohortNetPnlUsd,sameExit
1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1784150100000,76.66523846475246,STRUCTURE_INVALIDATION,1784150100000,76.66523846475246,1
1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1784175300000,-21.684106315405895,STRUCTURE_INVALIDATION,1784175300000,-21.684106315405895,1
1,ETH/USD,replay-ETH/USD-3,TIME_EFFICIENCY,1784614200000,18.87372008685186,TIME_EFFICIENCY,1784614200000,18.87372008685186,1
1,ETH/USD,replay-ETH/USD-4,TIME_EFFICIENCY,1785120600000,-33.74346352856654,TIME_EFFICIENCY,1785120600000,-33.74346352856654,1
1,SOL/USD,replay-SOL/USD-1,STRUCTURE_INVALIDATION,1784645100000,-34.69993174061505,STRUCTURE_INVALIDATION,1784645100000,-34.69993174061505,1
2,BTC/USD,replay-BTC/USD-1,TIME_EFFICIENCY,1787182200000,18.20867384183433,TIME_EFFICIENCY,1787182200000,18.20867384183433,1
2,BTC/USD,replay-BTC/USD-2,PROFIT,1787300100000,147.16777847595148,PROFIT,1787300100000,147.16777847595148,1
2,BTC/USD,replay-BTC/USD-3,TRAILING,1787304000000,75.51728710251855,TRAILING,1787304000000,75.51728710251855,1
2,BTC/USD,replay-BTC/USD-4,TIME_EFFICIENCY,1787358000000,5.031427440633245,TIME_EFFICIENCY,1787358000000,5.031427440633245,1
2,BTC/USD,replay-BTC/USD-5,EMERGENCY,1787376000000,-64.46020613975124,EMERGENCY,1787376000000,-64.46020613975124,1
2,BTC/USD,replay-BTC/USD-6,TIME_EFFICIENCY,1788472800000,12.220130525457964,TIME_EFFICIENCY,1788472800000,12.220130525457964,1
2,BTC/USD,replay-BTC/USD-7,STRUCTURE_INVALIDATION,1788517800000,-15.977145427738128,STRUCTURE_INVALIDATION,1788517800000,-15.977145427738128,1
2,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1787229000000,-8.729314265394875,STRUCTURE_INVALIDATION,1787229000000,-8.729314265394875,1
2,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1787252400000,-12.578721777130223,STRUCTURE_INVALIDATION,1787252400000,-12.578721777130223,1
2,ETH/USD,replay-ETH/USD-4,TRAILING,1787375400000,26.505262365460055,TRAILING,1787375400000,26.505262365460055,1
2,ETH/USD,replay-ETH/USD-3,TRAILING,1787375400000,21.480295936845224,TRAILING,1787375400000,21.480295936845224,1
2,ETH/USD,replay-ETH/USD-5,STRUCTURE_INVALIDATION,1788504300000,-13.974169775085773,STRUCTURE_INVALIDATION,1788504300000,-13.974169775085773,1
2,ETH/USD,replay-ETH/USD-6,TIME_EFFICIENCY,1788521100000,7.815791653881707,TIME_EFFICIENCY,1788521100000,7.815791653881707,1
2,ETH/USD,replay-ETH/USD-7,TIME_EFFICIENCY,1788523800000,-15.619260276218354,TIME_EFFICIENCY,1788523800000,-15.619260276218354,1
2,SOL/USD,replay-SOL/USD-1,PROFIT,1787175000000,150.70797891842372,PROFIT,1787175000000,150.70797891842372,1
