policy,fold,pair,trades,net,pf,expectancy,maxDD,fees,captureMean,captureMedian,captureN,givebackMean,givebackMedian
E0,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E1,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E0,0,ETH/USD,2,-25.15,0.000,-12.574,25.15,13.89,-0.297,-0.297,2,0.485,0.485
E1,0,ETH/USD,2,-25.15,0.000,-12.574,25.15,13.89,-0.297,-0.297,2,0.485,0.485
E0,0,SOL/USD,4,-30.99,0.378,-7.747,49.82,23.07,-0.767,0.484,3,0.323,0.317
E1,0,SOL/USD,4,-49.05,0.101,-12.263,53.47,23.05,-1.308,0.229,3,0.414,0.377
E0,0,XRP/USD,1,-24.02,0.000,-24.018,24.02,4.53,-2.134,-2.134,1,0.572,0.572
E1,0,XRP/USD,1,-24.02,0.000,-24.018,24.02,4.53,-2.134,-2.134,1,0.572,0.572
E0,1,BTC/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E1,1,BTC/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E0,1,ETH/USD,4,40.11,1.724,10.028,36.55,27.86,-2.627,0.709,3,0.408,0.429
E1,1,ETH/USD,4,16.23,1.269,4.058,40.50,27.84,-3.409,0.507,3,0.634,0.570
E0,1,SOL/USD,1,-34.70,0.000,-34.700,34.70,8.42,0.000,0.000,0,0.526,0.526
E1,1,SOL/USD,1,-34.70,0.000,-34.700,34.70,8.42,0.000,0.000,0,0.526,0.526
E0,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E1,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0,0.000,0.000
E0,2,BTC/USD,7,177.71,3.209,25.387,68.22,36.99,0.291,0.510,6,0.540,0.398
E1,2,BTC/USD,7,110.18,2.296,15.740,85.04,36.93,0.116,0.252,6,0.733,0.562
E0,2,ETH/USD,7,4.90,1.096,0.700,21.78,31.99,-0.081,-0.022,6,0.665,0.498
E1,2,ETH/USD,7,-1.75,0.967,-0.250,32.50,31.99,-0.138,-0.022,6,0.684,0.517
E0,2,SOL/USD,22,204.53,1.805,9.297,136.67,86.05,0.029,0.516,15,0.461,0.432
E1,2,SOL/USD,21,191.46,1.845,9.117,132.81,83.05,-0.046,0.316,15,0.514,0.407
E0,2,XRP/USD,11,-95.17,0.624,-8.652,217.63,29.57,-1.278,-0.004,5,0.569,0.392
E1,2,XRP/USD,11,-64.40,0.737,-5.854,217.63,29.60,-1.050,0.402,5,0.513,0.323
E0,ALL,ALL,59,217.22,1.262,3.682,275.98,262.38,-0.429,0.356,41,0.506,0.425
E1,ALL,ALL,58,118.81,1.147,2.048,209.36,259.31,-0.560,0.229,41,0.562,0.488
