group,key,trades,netPnl,pf,winRate,avgR,medianR,avgMfeR,avgGivebackR,avgCapturePct,avgHoldMin,avgStaleMin
by_pair,BTC/USD,12,156.42,2.119,58.3,0.379,0.247,0.851,0.472,-516.9,226,70
by_pair,ETH/USD,20,-175.67,0.469,30.0,-0.067,-0.159,0.523,0.590,-291.4,198,145
by_pair,SOL/USD,31,120.01,1.320,41.9,0.168,-0.090,0.620,0.452,-991.9,174,82
by_pair,XRP/USD,21,-185.95,0.528,23.8,-0.099,-0.275,0.368,0.467,-732.8,145,99
by_exit_reason,BREAK_EVEN,1,-2.53,0.000,0.0,-0.004,-0.004,1.152,1.157,-11.3,145,120
by_exit_reason,EMERGENCY,5,-292.77,0.000,0.0,-1.093,-1.068,0.078,1.170,-263.5,59,53
by_exit_reason,PROFIT,3,450.84,Infinity,100.0,3.084,3.098,3.081,-0.003,93.0,377,10
by_exit_reason,STRUCTURE_INVALIDATION,39,-656.91,0.162,7.7,-0.235,-0.286,0.240,0.475,-1157.4,135,100
by_exit_reason,TIME_EFFICIENCY,29,41.09,1.258,62.1,0.127,0.158,0.419,0.292,-422.5,189,104
by_exit_reason,TRAILING,7,375.09,Infinity,100.0,1.147,0.836,2.193,1.046,38.9,401,146
by_regime,TREND,84,-85.19,0.931,36.9,0.075,-0.166,0.567,0.492,-692.5,180,99
by_setup,BREAKOUT_RETEST,10,12.40,1.085,20.0,0.114,-0.190,0.571,0.458,-959.7,158,96
by_setup,PULLBACK_CONTINUATION,74,-97.58,0.911,39.2,0.070,-0.166,0.567,0.496,-656.4,183,100
by_capture_class,BAD,68,-1087.70,0.122,22.1,-0.223,-0.263,0.261,0.484,-866.8,139,95
by_capture_class,EXCELLENT,3,450.84,Infinity,100.0,3.084,3.098,3.081,-0.003,93.0,377,10
by_capture_class,GOOD,3,267.36,Infinity,100.0,1.878,1.963,2.677,0.799,60.0,478,183
by_capture_class,POOR,10,284.32,Infinity,100.0,0.660,0.520,1.258,0.599,31.4,310,130
