pair,lotId,signalId,setupTag,regimeAtEntry,directionAtEntry,entryPrice,exitPrice,volume,entryFeeUsd,exitFeeUsd,grossPnlUsd,netPnlUsd,rMultiple,exitReason,openedAtMs,closedAtMs,holdTimeMinutes,mfeUsd,maeUsd,mfeR,maeR,profitCapturePct,profitCaptureClass,givebackR,timeSinceLastMfeMin,rAt15m,rAt30m,rAt60m,rAt120m,rAt360m,initialStopPrice,initialStopDistanceUsd,riskUsd,notionalUsd,entryFee
BTC/USD,replay-BTC/USD-1,replay-BTC/USD-3,PULLBACK_CONTINUATION,TREND,BULLISH,71919.9,71295.9,0.05324813631522908,3.446640575079879,3.4167364217252465,-33.22683706070295,-40.09021405750808,-0.6645367412140589,STRUCTURE_INVALIDATION,1775670600000,1775673900000,55,0,32.45473908413212,0,-0.676038338658136,0,BAD,0.6645367412140589,55.0,-0.11171458998934441,-0.5325878594249119,-0.7624068157614438,-0.6520766773162829,-0.8554845580404581,70980.9,938.999999999998,50,3829.6006389776435,3.446640575079879
BTC/USD,replay-BTC/USD-2,replay-BTC/USD-4,PULLBACK_CONTINUATION,TREND,BULLISH,73035.2,73111.4,0.05626014691935504,3.698073974056031,3.70193229493176,4.28702319525469,-3.112983073733101,0.08574046390509381,TIME_EFFICIENCY,1775844600000,1775855700000,185,20.13550658243766,3.2743405507062997,0.4027101316487532,-0.1241098841041005,-78.78661078513439,BAD,0.31696966774365937,45.0,-0.007651379981035561,-0.0594107151468422,0.1966854736300685,0.22132741798073946,-0.1391876034784811,72146.47142857143,888.7285714285723,50,4108.971082284479,3.698073974056031
BTC/USD,replay-BTC/USD-3,replay-BTC/USD-5,PULLBACK_CONTINUATION,TREND,BULLISH,74511.6,74214.8,0.03758792890511733,2.5206630510658865,2.5106225634967516,-11.156097299038933,-16.18738291360157,-0.22312194598077864,STRUCTURE_INVALIDATION,1776138300000,1776146400000,135,0.4247435966273882,11.156097299038933,0.008494871932547764,-0.237856414111589,-5847.0764601830415,BAD,0.23161681791332642,90.0,-0.04285023895183375,-0.012930247543369112,-0.06510229286366759,-0.158019653117122,-0.013531654405842237,73181.38571428572,1330.2142857142858,50,2800.7367234065405,2.5206630510658865
BTC/USD,replay-BTC/USD-4,replay-BTC/USD-9,PULLBACK_CONTINUATION,TREND,BULLISH,78085.4,78446.9,0.0458391177934357,3.221429263692789,3.2363430206668835,16.570841082327004,10.113068797967331,0.3314168216465401,TIME_EFFICIENCY,1776849000000,1776860100000,185,16.575424994106616,4.689341750267938,0.3315084998821323,-0.11148073447362762,-6.240171460176888,BAD,0.00009167823559219634,0.0,0.07444272729655024,0.07086727610865426,-0.03272913010451042,0.08672761086518568,0.8181365743772484,76994.62857142856,1090.771428571432,50,3579.3658485475435,3.221429263692789
BTC/USD,replay-BTC/USD-5,replay-BTC/USD-10,PULLBACK_CONTINUATION,TREND,BULLISH,78236.4,78868.4,0.05705808513066282,4.01761725436493,4.050071893187251,36.060709802578906,27.993020655026726,0.7212141960515781,STRUCTURE_INVALIDATION,1776855900000,1776888000000,535,69.73639164669676,6.527444938947495,1.3947278329339352,-0.13066301494921786,20.136936671575658,POOR,0.6735136368823571,235.0,-0.00410818212939776,0.011411617026132565,0.11605614515578147,0.06424740385712967,0.8029213739586939,77360.09999999999,876.3000000000029,50,4464.019171516588,4.01761725436493
BTC/USD,replay-BTC/USD-6,replay-BTC/USD-31,PULLBACK_CONTINUATION,TREND,BULLISH,68766.7,69335.7,0.04094525035095925,2.5341027725783785,2.5550708352831046,23.297847449695812,18.20867384183433,0.46595694899391626,TIME_EFFICIENCY,1787171100000,1787182200000,185,43.17676649508653,5.376111371081069,0.8635353299017307,-0.12439167056620944,21.789205310573724,POOR,0.3975783809078144,105.0,-0.10752222742162137,0.2183200748713195,0.6959873654656125,0.30193027608797113,0.5683200748713144,67545.55714285714,1221.1428571428582,50,2815.6697473093095,2.5341027725783785
BTC/USD,replay-BTC/USD-7,replay-BTC/USD-35,PULLBACK_CONTINUATION,TREND,BULLISH,72685.4,76868.5,0.036351173104286365,2.377979601798866,2.514834134790153,152.0605922125405,147.16777847595148,3.0412118442508103,PROFIT,1787260500000,1787300100000,660,152.0605922125405,7.270234620857273,3.0412118442508103,-0.15267492703800273,91.08577705529393,EXCELLENT,0,0.0,0.07641016586521417,0.019193419399069548,-0.07313856028581782,0.22414133336103184,1.2624762419118656,71309.92857142857,1375.471428571427,50,2642.199557554296,2.377979601798866
BTC/USD,replay-BTC/USD-8,replay-BTC/USD-36,PULLBACK_CONTINUATION,TREND,BULLISH,75305.7,77563.7,0.03561434749427632,2.4137670312897517,2.4861425082676196,80.41719664207592,75.51728710251855,1.6083439328415186,TRAILING,1787289300000,1787304000000,245,140.88323581785838,4.7723225642330265,2.8176647163571675,-0.18206054439073432,47.52439632944027,POOR,1.209320783515649,25.0,-0.0928822182650685,-0.042024930043246055,-0.027423047570592766,0.7909234291528947,1.4292749936403015,73901.77142857143,1403.9285714285693,50,2681.963368099724,2.4137670312897517
BTC/USD,replay-BTC/USD-9,replay-BTC/USD-40,PULLBACK_CONTINUATION,TREND,BULLISH,77688.1,78057.1,0.02198768689533861,1.53736345646438,1.544665567282322,8.113456464379947,5.031427440633245,0.16226912928759896,TIME_EFFICIENCY,1787346900000,1787358000000,185,22.821020228671816,0.3847845206684257,0.45642040457343636,-0.04423922603342385,-1.2667588399653251,BAD,0.2941512752858374,135.0,0.3083553210202274,0.283773087071235,0.391820580474934,0.4160949868073866,0.38649956024625953,75414.1,2274,50,1708.1816182937557,1.53736345646438
BTC/USD,replay-BTC/USD-10,replay-BTC/USD-43,PULLBACK_CONTINUATION,TREND,BULLISH,78700.5,76955,0.0341856967044989,2.421388281143174,2.367684260905241,-59.67113359770283,-64.46020613975124,-1.1934226719540566,EMERGENCY,1787373300000,1787376000000,45,0,59.50020511418033,0,-1.835224941884317,0,BAD,1.1934226719540566,40.0,-0.12559824969232697,-0.6009161766716776,-1.0691234787364965,-0.8210036920552475,-1.118487624777791,77237.90000000001,1462.5999999999974,50,2690.4314234924154,2.421388281143174
