fold,pair,lotId,entryTime,entryPrice,stopDistanceUsd,r0RiskUsd,r1Multiplier,r1RiskUsd,r0Net,r1Net,u75Net,u50Net,rMultiple,mfeR,maeR,e0ExitReason
1,ETH/USD,replay-ETH/USD-1,1784116500000,1881.96,23.932857142857106,50,0.500,25.00,76.67,38.33,57.50,38.33,1.6763564734674368,2.3632782188264803,0.08983465647944046,STRUCTURE_INVALIDATION
1,ETH/USD,replay-ETH/USD-2,1784171700000,1926.23,27.438571428571485,50,0.500,25.00,-21.68,-10.84,-16.26,-10.84,-0.3075961888894687,0,0.4132868225126217,STRUCTURE_INVALIDATION
1,ETH/USD,replay-ETH/USD-3,1784602500000,1913.22,30.92285714285718,50,0.500,25.00,18.87,9.44,14.16,9.44,0.4892820844497785,0.5765961378545659,0,TIME_EFFICIENCY
1,ETH/USD,replay-ETH/USD-4,1785109500000,1952.42,19.87857142857141,50,1.000,50.00,-33.74,-33.74,-25.31,-16.87,-0.49852676967301934,0.05282069708946955,0.6474308300395323,TIME_EFFICIENCY
1,SOL/USD,replay-SOL/USD-1,1784639400000,78.54,0.8371428571428571,50,0.500,25.00,-34.70,-17.35,-26.02,-17.35,-0.5255972696245876,0,0.5853242320819222,STRUCTURE_INVALIDATION
2,BTC/USD,replay-BTC/USD-1,1787171100000,68766.7,1221.1428571428582,50,1.000,50.00,18.21,18.21,13.66,9.10,0.46595694899391626,0.8635353299017307,0.10752222742162137,TIME_EFFICIENCY
2,BTC/USD,replay-BTC/USD-2,1787260500000,72685.4,1375.471428571427,50,0.750,37.50,147.17,110.38,110.38,73.58,3.0412118442508103,3.0412118442508103,0.14540469241714546,PROFIT
2,BTC/USD,replay-BTC/USD-3,1787289300000,75305.7,1403.9285714285693,50,1.000,50.00,75.52,75.52,56.64,37.76,1.6083439328415186,2.8176647163571675,0.09544645128466053,TRAILING
2,BTC/USD,replay-BTC/USD-4,1787346900000,77688.1,2274,50,0.750,37.50,5.03,3.77,3.77,2.52,0.16226912928759896,0.45642040457343636,0.007695690413368515,TIME_EFFICIENCY
2,BTC/USD,replay-BTC/USD-5,1787373300000,78700.5,1462.5999999999974,50,0.750,37.50,-64.46,-48.35,-48.35,-32.23,-1.1934226719540566,0,1.1900041022836065,EMERGENCY
2,BTC/USD,replay-BTC/USD-6,1788461700000,81170,1191.885714285716,50,1.000,50.00,12.22,12.22,9.17,6.11,0.36731709655767764,0.765090133282188,0,TIME_EFFICIENCY
2,BTC/USD,replay-BTC/USD-7,1788510900000,81090.8,901.0857142857234,50,0.750,37.50,-15.98,-11.98,-11.98,-7.99,-0.15769864924853044,0.1316189993024178,0.2771101528314988,STRUCTURE_INVALIDATION
2,ETH/USD,replay-ETH/USD-1,1787220900000,2286.64,78.34142857142862,50,1.000,50.00,-8.73,-8.73,-6.55,-4.36,-0.12215758857746845,0.3755356589288652,0.18572548733565167,STRUCTURE_INVALIDATION
2,ETH/USD,replay-ETH/USD-2,1787243400000,2325.08,54.92000000000014,50,0.750,37.50,-12.58,-9.43,-9.43,-6.29,-0.17552804078659592,0.42042971595047507,0.2452658412235937,STRUCTURE_INVALIDATION
2,ETH/USD,replay-ETH/USD-4,1787339400000,2412.42,70.21285714285717,50,0.750,37.50,26.51,19.88,19.88,13.25,0.592484079025004,1.8461006327697387,0.010966652424260656,TRAILING
2,ETH/USD,replay-ETH/USD-3,1787338800000,2419.47,70.21285714285717,50,0.750,37.50,21.48,16.11,16.11,10.74,0.49207511851716446,1.7456916722618991,0.16677857128323473,TRAILING
2,ETH/USD,replay-ETH/USD-5,1788499200000,2514.71,38.6814285714287,50,0.750,37.50,-13.97,-10.48,-10.48,-6.99,-0.16261033349336929,0.024818111312184633,0.2642094766776288,STRUCTURE_INVALIDATION
2,ETH/USD,replay-ETH/USD-6,1788510000000,2515,32.59000000000008,50,0.750,37.50,7.82,5.86,5.86,3.91,0.2954894139306562,0.737649585762501,0.00889843510279113,TIME_EFFICIENCY
2,ETH/USD,replay-ETH/USD-7,1788512700000,2530.56,34.85857142857152,50,0.750,37.50,-15.62,-11.71,-11.71,-7.81,-0.18187779189377853,0.2432687184951435,0.40678660710626036,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-1,1787165100000,82.14,1.558571428571424,50,0.750,37.50,150.71,113.03,113.03,75.35,3.11182401466545,3.11182401466545,0.08340971585700924,PROFIT
2,SOL/USD,replay-SOL/USD-2,1787186400000,85.64,2.61428571428571,50,1.000,50.00,-20.91,-20.91,-15.68,-10.46,-0.35956284153005436,0,0.35956284153005436,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-3,1787217300000,87.57,2.28714285714286,50,1.000,50.00,-21.79,-21.79,-16.34,-10.90,-0.3672704559650167,0.17926296064959849,0.3847595252966871,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-4,1787226600000,87.79,2.13571428571429,50,0.750,37.50,-24.05,-18.04,-18.04,-12.02,-0.4073578595317739,0,0.5150501672240831,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-6,1787244300000,87.46,1.691428571428576,50,0.750,37.50,-23.26,-17.45,-17.45,-11.63,-0.3724662162162125,0.17736486486487113,0.46706081081080486,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-5,1787242200000,87.28,1.691428571428576,50,0.750,37.50,-17.93,-13.45,-13.45,-8.97,-0.26604729729729826,0.2837837837837854,0.36064189189189055,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-7,1787254800000,87.39,1.768571428571428,50,0.750,37.50,-8.97,-6.72,-6.72,-4.48,-0.09046849757673477,0.20355411954765723,0.11873990306946337,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-8,1787260200000,87.74,1.7142857142857122,50,0.750,37.50,-19.76,-14.82,-14.82,-9.88,-0.3033333333333314,0,0.31499999999999573,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-9,1787291400000,90.45,1.6542857142857141,50,0.750,37.50,22.26,16.69,16.69,11.13,0.544041450777197,1.6925734024179604,0.25388601036269537,TRAILING
2,SOL/USD,replay-SOL/USD-10,1787323500000,91.47,3.028571428571429,50,0.750,37.50,2.23,1.67,1.67,1.12,0.09905660377358395,0.18490566037735923,0.23443396226414887,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-12,1787347200000,92.4,2.838571428571427,50,0.750,37.50,19.24,14.43,14.43,9.62,0.44388525415198493,0.8595873175641667,0,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-11,1787346900000,92.24,2.838571428571427,50,0.750,37.50,20.48,15.36,15.36,10.24,0.4685455460493202,0.915953699043788,0,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-13,1787366100000,95.15,2.517142857142854,50,0.750,37.50,94.64,70.98,70.98,47.32,1.962542565266744,2.7928490351872908,0.04370034052213377,TRAILING
2,SOL/USD,replay-SOL/USD-15,1787838000000,104.61,3.0271428571428567,50,1.000,50.00,38.64,38.64,28.98,19.32,0.8357715903728179,1.5823501651722531,0.013213780084947797,TRAILING
2,SOL/USD,replay-SOL/USD-14,1787810400000,102.02,2.567142857142857,50,0.750,37.50,96.06,72.04,72.04,48.03,1.994435169727325,2.8747913188647782,0.41291040623261077,TRAILING
2,SOL/USD,replay-SOL/USD-17,1787877600000,109.97,3.3142857142857087,50,0.750,37.50,-34.79,-26.09,-26.09,-17.39,-0.6366379310344836,0,0.6245689655172404,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-16,1787873400000,109.94,3.394285714285709,50,0.750,37.50,-33.53,-25.15,-25.15,-16.76,-0.6127946127946133,0.002946127946129458,0.6010101010100997,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-18,1788461400000,104.97,2.281428571428571,50,1.000,50.00,3.74,3.74,2.81,1.87,0.15779586725109557,0.3024420788979327,0.04383218534752412,TIME_EFFICIENCY
