policy,fold,pair,trades,net,pf,expectancy,maxDD,netToDD,fees,riskDeployed,avgRisk,worstTrade
R0,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
R1,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
U75,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
U50,0,BTC/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
R0,0,ETH/USD,2,-25.15,0.000,-12.574,25.15,-1.000,13.89,100.00,50.00,-15.04
R1,0,ETH/USD,2,-12.57,0.000,-6.287,12.57,-1.000,6.95,50.00,25.00,-7.52
U75,0,ETH/USD,2,-18.86,0.000,-9.431,18.86,-1.000,10.42,75.00,37.50,-11.28
U50,0,ETH/USD,2,-12.57,0.000,-6.287,12.57,-1.000,6.95,50.00,25.00,-7.52
R0,0,SOL/USD,4,-30.99,0.378,-7.747,49.82,-0.622,23.07,200.00,50.00,-30.90
R1,0,SOL/USD,4,-15.49,0.378,-3.874,24.91,-0.622,11.53,100.00,25.00,-15.45
U75,0,SOL/USD,4,-23.24,0.378,-5.810,37.37,-0.622,17.30,150.00,37.50,-23.18
U50,0,SOL/USD,4,-15.49,0.378,-3.874,24.91,-0.622,11.53,100.00,25.00,-15.45
R0,0,XRP/USD,1,-24.02,0.000,-24.018,24.02,-1.000,4.53,50.00,50.00,-24.02
R1,0,XRP/USD,1,-12.01,0.000,-12.009,12.01,-1.000,2.27,25.00,25.00,-12.01
U75,0,XRP/USD,1,-18.01,0.000,-18.014,18.01,-1.000,3.40,37.50,37.50,-18.01
U50,0,XRP/USD,1,-12.01,0.000,-12.009,12.01,-1.000,2.27,25.00,25.00,-12.01
R0,1,BTC/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
R1,1,BTC/USD,1,-16.52,0.000,-16.519,16.52,-1.000,4.91,25.00,25.00,-16.52
U75,1,BTC/USD,1,-24.78,0.000,-24.779,24.78,-1.000,7.36,37.50,37.50,-24.78
U50,1,BTC/USD,1,-16.52,0.000,-16.519,16.52,-1.000,4.91,25.00,25.00,-16.52
R0,1,ETH/USD,4,40.11,1.724,10.028,36.55,1.097,27.86,200.00,50.00,-33.74
R1,1,ETH/USD,6,-22.87,0.676,-3.811,61.20,-0.374,29.35,175.00,29.17,-33.74
U75,1,ETH/USD,6,-8.99,0.889,-1.498,66.49,-0.135,37.40,225.00,37.50,-25.31
U50,1,ETH/USD,6,-5.99,0.889,-0.999,44.33,-0.135,24.94,150.00,25.00,-16.87
R0,1,SOL/USD,1,-34.70,0.000,-34.700,34.70,-1.000,8.42,50.00,50.00,-34.70
R1,1,SOL/USD,1,-17.35,0.000,-17.350,17.35,-1.000,4.21,25.00,25.00,-17.35
U75,1,SOL/USD,2,-17.55,0.326,-8.775,26.02,-0.674,13.87,75.00,37.50,-26.02
U50,1,SOL/USD,2,-11.70,0.326,-5.850,17.35,-0.674,9.24,50.00,25.00,-17.35
R0,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
R1,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
U75,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
U50,1,XRP/USD,0,0.00,0.000,0.000,0.00,0.000,0.00,0.00,0.00,0.00
R0,2,BTC/USD,7,177.71,3.209,25.387,68.22,2.605,36.99,350.00,50.00,-64.46
R1,2,BTC/USD,8,81.04,1.583,10.130,126.83,0.639,38.57,337.50,42.19,-78.73
U75,2,BTC/USD,8,54.55,1.392,6.819,129.89,0.420,34.54,300.00,37.50,-78.73
U50,2,BTC/USD,9,105.45,2.138,11.717,86.59,1.218,31.03,225.00,25.00,-52.48
R0,2,ETH/USD,7,4.90,1.096,0.700,21.78,0.225,31.99,350.00,50.00,-15.62
R1,2,ETH/USD,8,-13.76,0.753,-1.720,33.42,-0.412,31.82,312.50,39.06,-15.25
U75,2,ETH/USD,8,-11.58,0.783,-1.447,31.23,-0.371,31.16,300.00,37.50,-15.25
U50,2,ETH/USD,8,-7.72,0.783,-0.965,20.82,-0.371,20.78,200.00,25.00,-10.17
R0,2,SOL/USD,22,204.53,1.805,9.297,136.67,1.496,86.05,1100.00,50.00,-34.79
R1,2,SOL/USD,22,152.50,1.755,6.932,113.18,1.347,68.99,887.50,40.34,-26.09
U75,2,SOL/USD,22,153.40,1.805,6.973,102.50,1.496,64.54,825.00,37.50,-26.09
U50,2,SOL/USD,22,102.26,1.805,4.648,68.34,1.496,43.03,550.00,25.00,-17.39
R0,2,XRP/USD,11,-95.17,0.624,-8.652,217.63,-0.437,29.57,550.00,50.00,-57.22
R1,2,XRP/USD,11,-98.90,0.444,-8.991,158.86,-0.623,23.35,387.50,35.23,-37.94
U75,2,XRP/USD,11,-71.38,0.624,-6.489,163.22,-0.437,22.18,412.50,37.50,-42.91
U50,2,XRP/USD,11,-47.59,0.624,-4.326,108.81,-0.437,14.79,275.00,25.00,-28.61
R0,ALL,ALL,59,217.22,1.262,3.682,275.98,0.787,262.38,2950.00,50.00,-64.46
R1,ALL,ALL,64,24.07,1.033,0.376,275.27,0.087,221.94,2325.00,36.33,-78.73
U75,ALL,ALL,65,13.56,1.017,0.209,285.71,0.047,242.17,2437.50,37.50,-78.73
U50,ALL,ALL,66,78.12,1.150,1.184,190.47,0.410,169.45,1650.00,25.00,-52.48
