dimension,bucket,trades,netPnl,pf,avgR,worstTrade,avgMaeR
atrPctBucket,<1,50,-125.46,0.841,0.067,-64.46,0.356
atrPctBucket,<2,28,26.46,1.087,0.089,-37.94,0.235
atrPctBucket,<3,4,124.99,4.760,0.662,-17.27,0.307
atrPctBucket,>=3,2,-111.17,0.000,-1.077,-57.22,1.084
direction,BULLISH,84,-85.19,0.931,0.075,-64.46,0.331
exitReason,BREAK_EVEN,1,-2.53,0.000,-0.004,-2.53,0.012
exitReason,EMERGENCY,5,-292.77,0.000,-1.093,-64.46,1.094
exitReason,PROFIT,3,450.84,inf,3.084,0.00,0.184
exitReason,STRUCTURE_INVALIDATION,39,-656.91,0.162,-0.235,-40.09,0.377
exitReason,TIME_EFFICIENCY,29,41.09,1.258,0.127,-33.74,0.208
exitReason,TRAILING,7,375.09,inf,1.147,0.00,0.142
openPositions,0,66,-70.11,0.930,0.077,-64.46,0.335
openPositions,1,18,-15.08,0.936,0.071,-57.22,0.315
openRiskBucket,<100,18,-15.08,0.936,0.071,-57.22,0.315
openRiskBucket,<50,66,-70.11,0.930,0.077,-64.46,0.335
pair,BTC/USD,12,156.42,2.119,0.379,-64.46,0.249
pair,ETH/USD,20,-175.67,0.469,-0.067,-59.55,0.330
pair,SOL/USD,31,120.01,1.320,0.168,-34.79,0.285
pair,XRP/USD,21,-185.95,0.528,-0.099,-57.22,0.445
qualityBucket,<0.35,30,-12.27,0.964,0.093,-64.46,0.266
qualityBucket,<0.45,28,-42.95,0.922,0.062,-59.55,0.446
qualityBucket,<0.55,16,-268.45,0.148,-0.245,-40.09,0.355
qualityBucket,<0.7,10,238.48,7.030,0.568,-33.74,0.160
regime,TREND,84,-85.19,0.931,0.075,-64.46,0.331
setupTag,BREAKOUT_RETEST,10,12.40,1.085,0.114,-33.74,0.316
setupTag,PULLBACK_CONTINUATION,74,-97.58,0.911,0.070,-64.46,0.332
