fold,entryThreshold,combo,trainTrades,trainNet,trainPF,trainDD,trainNetToDD,isBest
0,0.5,lq0.45@0.5_hv2@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.5_hv2@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.5_hv2.5@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.5_hv2.5@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.5_hv3@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.5_hv3@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv2@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv2@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv2.5@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv2.5@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv3@0.5,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.45@0.75_hv3@0.75,5,-53.80,0.158,63.92,-0.842,0
0,0.5,lq0.55@0.5_hv2@0.5,5,-21.84,0.316,31.96,-0.684,1
0,0.5,lq0.55@0.5_hv2@0.75,5,-21.84,0.316,31.96,-0.684,0
0,0.5,lq0.55@0.5_hv2.5@0.5,5,-21.84,0.316,31.96,-0.684,0
0,0.5,lq0.55@0.5_hv2.5@0.75,5,-21.84,0.316,31.96,-0.684,0
0,0.5,lq0.55@0.5_hv3@0.5,5,-21.84,0.316,31.96,-0.684,0
0,0.5,lq0.55@0.5_hv3@0.75,5,-21.84,0.316,31.96,-0.684,0
0,0.5,lq0.55@0.75_hv2@0.5,5,-37.82,0.211,47.94,-0.789,0
0,0.5,lq0.55@0.75_hv2@0.75,5,-37.82,0.211,47.94,-0.789,0
0,0.5,lq0.55@0.75_hv2.5@0.5,5,-37.82,0.211,47.94,-0.789,0
0,0.5,lq0.55@0.75_hv2.5@0.75,5,-37.82,0.211,47.94,-0.789,0
0,0.5,lq0.55@0.75_hv3@0.5,5,-37.82,0.211,47.94,-0.789,0
0,0.5,lq0.55@0.75_hv3@0.75,5,-37.82,0.211,47.94,-0.789,0
1,0.3,lq0.45@0.5_hv2@0.5,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.5_hv2@0.75,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.5_hv2.5@0.5,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.5_hv2.5@0.75,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.5_hv3@0.5,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.5_hv3@0.75,26,-107.79,0.411,107.79,-1.000,0
1,0.3,lq0.45@0.75_hv2@0.5,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.45@0.75_hv2@0.75,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.45@0.75_hv2.5@0.5,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.45@0.75_hv2.5@0.75,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.45@0.75_hv3@0.5,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.45@0.75_hv3@0.75,25,-125.68,0.453,125.68,-1.000,0
1,0.3,lq0.55@0.5_hv2@0.5,26,-76.59,0.482,78.93,-0.970,1
1,0.3,lq0.55@0.5_hv2@0.75,26,-76.59,0.482,78.93,-0.970,0
1,0.3,lq0.55@0.5_hv2.5@0.5,26,-76.59,0.482,78.93,-0.970,0
1,0.3,lq0.55@0.5_hv2.5@0.75,26,-76.59,0.482,78.93,-0.970,0
1,0.3,lq0.55@0.5_hv3@0.5,26,-76.59,0.482,78.93,-0.970,0
1,0.3,lq0.55@0.5_hv3@0.75,26,-76.59,0.482,78.93,-0.970,0
1,0.3,lq0.55@0.75_hv2@0.5,25,-110.08,0.481,110.08,-1.000,0
1,0.3,lq0.55@0.75_hv2@0.75,25,-110.08,0.481,110.08,-1.000,0
1,0.3,lq0.55@0.75_hv2.5@0.5,25,-110.08,0.481,110.08,-1.000,0
1,0.3,lq0.55@0.75_hv2.5@0.75,25,-110.08,0.481,110.08,-1.000,0
1,0.3,lq0.55@0.75_hv3@0.5,25,-110.08,0.481,110.08,-1.000,0
1,0.3,lq0.55@0.75_hv3@0.75,25,-110.08,0.481,110.08,-1.000,0
2,0.3,lq0.45@0.5_hv2@0.5,15,-120.34,0.337,133.69,-0.900,0
2,0.3,lq0.45@0.5_hv2@0.75,15,-120.34,0.337,133.69,-0.900,0
