policy,fold,pair,trades,net,pf,expectancy,maxDD,netToDD,fees,riskDeployed,avgRisk,worstTrade
U75,1,BTC/USD,1,-24.78,0.000,-24.779,24.78,-1.000,7.36,37.50,37.50,-24.78
U75,1,ETH/USD,6,-8.99,0.889,-1.498,66.49,-0.135,37.40,225.00,37.50,-25.31
U75,1,SOL/USD,2,-17.55,0.326,-8.775,26.02,-0.674,13.87,75.00,37.50,-26.02
U50,1,BTC/USD,1,-16.52,0.000,-16.519,16.52,-1.000,4.91,25.00,25.00,-16.52
U50,1,ETH/USD,6,-5.99,0.889,-0.999,44.33,-0.135,24.94,150.00,25.00,-16.87
U50,1,SOL/USD,2,-11.70,0.326,-5.850,17.35,-0.674,9.24,50.00,25.00,-17.35
U75,2,BTC/USD,8,54.55,1.392,6.819,129.89,0.420,34.54,300.00,37.50,-78.73
U75,2,ETH/USD,8,-11.58,0.783,-1.447,31.23,-0.371,31.16,300.00,37.50,-15.25
U75,2,SOL/USD,22,153.40,1.805,6.973,102.50,1.496,64.54,825.00,37.50,-26.09
U75,2,XRP/USD,11,-71.38,0.624,-6.489,163.22,-0.437,22.18,412.50,37.50,-42.91
U50,2,BTC/USD,9,105.45,2.138,11.717,86.59,1.218,31.03,225.00,25.00,-52.48
U50,2,ETH/USD,8,-7.72,0.783,-0.965,20.82,-0.371,20.78,200.00,25.00,-10.17
U50,2,SOL/USD,22,102.26,1.805,4.648,68.34,1.496,43.03,550.00,25.00,-17.39
U50,2,XRP/USD,11,-47.59,0.624,-4.326,108.81,-0.437,14.79,275.00,25.00,-28.61
