pair,certifiedScope,lot1,lot2,openedAt1,openedAt2,closedAt1,closedAt2,overlapMinutes,risk1,risk2,combinedRisk,net1,net2,combinedNet,sameSetupTag,sameRegime,sameDirection,sameMarketContext,classification,entryPrice1,entryPrice2,stop1,stop2,mfeR1,maeR1,mfeR2,maeR2,exitReason1,exitReason2,signalId1,signalId2,marketContextId1,marketContextId2
XRP/USD,true,spot-XRP/USD-mub52mxr-kacg,spot-XRP/USD-mub53tsf-dlrq,2026-09-21T11:05:29.249Z,2026-09-21T11:06:24.785Z,2026-09-21T14:06:25.970Z,2026-09-21T14:06:25.954Z,180,50,50,100,-25.91,-29.43,-55.34,true,true,true,false,SAME_SETUP_DUPLICATE,1.49278602,1.4955374,1.4529,1.45557,0.1142,0.5099,0.044,0.5801,TIME_EFFICIENCY,TIME_EFFICIENCY,intent-XRP/USD-mub52mxi-mmeibv,intent-XRP/USD-mub53ts7-sfwses,mc-XRP/USD-mub52l0n-k2njvf,mc-XRP/USD-mub53tpp-jze2yj
ETH/USD,true,spot-ETH/USD-mub9651f-dv29,spot-ETH/USD-mubcl4q5-kdfh,2026-09-21T13:00:11.141Z,2026-09-21T14:35:49.423Z,2026-09-21T16:01:04.669Z,2026-09-21T17:36:35.520Z,85.3,50,50,100,10.65,1.51,12.16,true,true,true,false,SAME_SETUP_DUPLICATE,2737.841106,2740.781988,2677.24857143,2678.53571429,0.4452,0.4158,0.4303,0.1761,TIME_EFFICIENCY,TIME_EFFICIENCY,intent-ETH/USD-mub9650u-sdy4ds,intent-ETH/USD-mubcl4px-rtt4k0,mc-ETH/USD-mub9650m-gf32ko,mc-ETH/USD-mubcl4ps-3om9c8
XRP/USD,true,spot-XRP/USD-mubkfrgi-9gp4,spot-XRP/USD-mubkh1r4-l1rh,2026-09-21T18:15:35.876Z,2026-09-21T18:16:35.873Z,2026-09-21T21:15:52.302Z,2026-09-21T21:17:07.009Z,179.3,50,50,100,6.39,16.64,23.03,true,true,true,false,SAME_SETUP_DUPLICATE,1.50929427,1.50929427,1.46644714,1.46644714,0.6623,0.2662,0.6623,0.2662,TIME_EFFICIENCY,TIME_EFFICIENCY,intent-XRP/USD-mubkfrg1-78iffo,intent-XRP/USD-mubkh1qu-fh7mfq,mc-XRP/USD-mubkfrfk-cx12ze,mc-XRP/USD-mubkh1qj-ctqbec
SOL/USD,true,spot-SOL/USD-muazca7i-fwpw,spot-SOL/USD-mubna0ls-av33,2026-09-21T08:25:01.618Z,2026-09-21T19:35:06.642Z,2026-09-22T01:03:56.291Z,2026-09-21T22:36:06.772Z,181,50,50,100,82.88,11.16,94.04,true,true,true,false,RELATED_SETUP,113.243963,118.309125,110.78714286,115.24,2.771,0,0.5421,0.1402,TRAILING,TIME_EFFICIENCY,intent-SOL/USD-muazca62-en3oua,intent-SOL/USD-mubn7lgl-3kd06x,mc-SOL/USD-muazca5m-xjf12q,mc-SOL/USD-mubna0l7-by8h5z
SOL/USD,true,spot-SOL/USD-muazca7i-fwpw,spot-SOL/USD-mubumoli-a25o,2026-09-21T08:25:01.618Z,2026-09-21T23:00:54.920Z,2026-09-22T01:03:56.291Z,2026-09-22T01:15:54.054Z,123,50,50,100,82.88,-33.57,49.31,true,true,true,false,RELATED_SETUP,113.243963,119.53974,110.78714286,116.84,2.771,0,0.0948,0.7613,TRAILING,STRUCTURE_INVALIDATION,intent-SOL/USD-muazca62-en3oua,intent-SOL/USD-mubumolb-k1ucoq,mc-SOL/USD-muazca5m-xjf12q,mc-SOL/USD-mubumol2-ssvio
TON/USD,false,spot-TON/USD-mubzgejr-o5n,spot-TON/USD-mubzhj23-6s8y,2026-09-22T01:16:00.052Z,2026-09-22T01:16:52.541Z,2026-09-22T02:15:10.996Z,2026-09-22T02:15:10.979Z,58.3,50,50,100,-35.82,-29.15,-64.97,true,true,true,false,SAME_SETUP_DUPLICATE,1.4644392,1.460438,1.43,1.43,0,0.6146,0.0521,0.4813,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,intent-TON/USD-mubzgeji-rips2s,intent-TON/USD-mubzhj1l-3mioiu,mc-TON/USD-mubzgbu3-7x9y31,mc-TON/USD-mubzhiof-8c1qi1
ETH/USD,true,spot-ETH/USD-mucgr8g5-2ehg,spot-ETH/USD-muchhfgt-43s7,2026-09-22T09:20:18.824Z,2026-09-22T09:40:41.058Z,2026-09-22T12:20:19.929Z,2026-09-22T12:40:53.609Z,159.6,50,50,100,-7.88,0.58,-7.3,false,true,true,false,INDEPENDENT_SETUP,2742.682558,2742.412477,2699.36857143,2699.37857143,0.2241,0.1596,0.2305,0.1468,TIME_EFFICIENCY,TIME_EFFICIENCY,intent-ETH/USD-mucgowq0-9ns072,intent-ETH/USD-muchhe7d-9vtrea,mc-ETH/USD-mucgr8fj-2fqyzn,mc-ETH/USD-muchhe79-nrfjtz
XRP/USD,true,spot-XRP/USD-mucgy72z-a3nz,spot-XRP/USD-mucgzhd6-ius,2026-09-22T09:25:43.645Z,2026-09-22T09:26:43.628Z,2026-09-22T12:26:13.768Z,2026-09-22T12:27:13.797Z,179.5,50,50,100,-4.29,-4.66,-8.95,true,true,true,false,SAME_SETUP_DUPLICATE,1.53620072,1.53739108,1.48588714,1.48599714,0.1783,0.2759,0.1544,0.2998,TIME_EFFICIENCY,TIME_EFFICIENCY,intent-XRP/USD-mucgy72q-bi8i6x,intent-XRP/USD-mucgzhd0-p7hw62,mc-XRP/USD-mucgy6zv-adxhp0,mc-XRP/USD-mucgzhav-9z31nc
XRP/USD,true,spot-XRP/USD-mucnkkq4-tvl,spot-XRP/USD-mucnlrl8-dv1m,2026-09-22T12:31:05.454Z,2026-09-22T12:32:01.006Z,2026-09-22T14:32:39.045Z,2026-09-22T14:32:39.024Z,120.6,50,50,100,-5.9,-8.39,-14.28,true,true,true,false,SAME_SETUP_DUPLICATE,1.5414523,1.54374298,1.49518,1.4965,1.1436,0.0787,1.0938,0.1285,BREAK_EVEN,BREAK_EVEN,intent-XRP/USD-mucnkkpw-uluo4g,intent-XRP/USD-mucnlrkk-29bj98,mc-XRP/USD-mucnkiss-db0dzq,mc-XRP/USD-mucnlrhz-cw78m4
SOL/USD,true,spot-SOL/USD-mucolz00-9zh9,spot-SOL/USD-mucon9cr-a3d9,2026-09-22T13:00:10.227Z,2026-09-22T13:01:10.303Z,2026-09-22T14:45:47.797Z,2026-09-22T14:45:47.745Z,104.6,50,50,100,-27.68,-27.89,-55.56,true,true,true,false,SAME_SETUP_DUPLICATE,117.465229,117.475232,115.04428571,115.05428571,0.1739,0.5471,0.1697,0.5513,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,intent-SOL/USD-mucolyzs-2h4ghc,intent-SOL/USD-mucon9b9-767ar7,mc-SOL/USD-mucolylr-em5v8k,mc-SOL/USD-mucon9ar-epuktw
