lotId,pair,signalId,policyVersion,entryStrategyId,setupTag,openedAt,closedAt,holdTimeMinutes,entryPrice,exitPrice,amount,notionalUsd,entryFee,exitFee,totalFees,riskUsd,initialStopPrice,initialStopDistanceUsd,initialStopDistancePct,exitReason,grossPnlUsd,netPnlUsd,rMultiple,mfeUsd,maeUsd,mfeR,maeR,highestPrice,breakEvenActivated,trailingActivated,regimeAtEntry,directionAtEntry,macroAtEntry,signalConfidence,marketContextId,executionMode,v4QualityScore,v4Threshold,v4Accepted,impulseScore,retracementScore,structureScore,reclaimScore,resumptionScore,v4RejectReason,adx,atrPct,spreadPct,volumeRatio,volatility,dataHealth
spot-XRP/USD-mub53tsf-dlrq,XRP/USD,intent-XRP/USD-mub53ts7-sfwses,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,BREAKOUT_RETEST,2026-09-21T11:06:24.785Z,2026-09-21T14:06:25.954Z,180,1.4955374,1.475152055,1276.16130679,1907.5421133231243,1.71769226,1.69427878,3.41197104,50,1.45557,0.03918,2.61979406198735,TIME_EFFICIENCY,-26.01498851,-29.42695955,-0.588539191,2.19831547,29.00382848,0.044,0.5801,1.4955374,false,false,1.314588645819353,TREND,BULLISH,0.95,mc-XRP/USD-mub53tpp-jze2yj,SHADOW,,,,,,,,,,0.03917999999999999,36.93966517713234,NaN,0.008697252002874339,BULLISH,0.7312595176930355
spot-XRP/USD-mub52mxr-kacg,XRP/USD,intent-XRP/USD-mub52mxi-mmeibv,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,BREAKOUT_RETEST,2026-09-21T11:05:29.249Z,2026-09-21T14:06:25.970Z,181,1.49278602,1.475152055,1276.16130679,1904.1347626339973,1.71453218,1.69427878,3.4088109600000003,50,1.4529,0.03918,2.6246226502040795,TIME_EFFICIENCY,-22.50378382,-25.91259478,-0.5182518956,5.70952016,25.49262379,0.1142,0.5099,1.49278602,false,false,1.314588645819353,TREND,BULLISH,0.95,mc-XRP/USD-mub52l0n-k2njvf,SHADOW,,,,,,,,,,0.03917999999999999,36.93966517713234,NaN,0.003351172742908451,BULLISH,0.7312595176930355
spot-ETH/USD-mub9651f-dv29,ETH/USD,intent-ETH/USD-mub9650u-sdy4ds,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T13:00:11.141Z,2026-09-21T16:01:04.669Z,181,2737.841106,2755.543089,0.83498342,2285.458167330682,2.05744674,2.07074951,4.12819625,50,2677.24857143,59.88142857,2.187176912450083,TIME_EFFICIENCY,14.78086231,10.65266605,0.21305332100000002,22.25973449,20.79201065,0.4452,0.4158,2737.841106,false,false,1.0938725703826353,TREND,BULLISH,0.95,mc-ETH/USD-mub9650m-gf32ko,SHADOW,,,,,,,,,,59.88142857142845,43.48068684402883,NaN,0.00036536153436366007,BULLISH,1.0865406114768845
spot-XRP/USD-mubcl3ko-16xg,XRP/USD,intent-XRP/USD-mubcl3kh-qefry3,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T14:35:47.930Z,2026-09-21T17:36:34.565Z,181,1.49761844,1.497380935,1212.1631918,1813.626445937523,1.63382215,1.63356305,3.2673852,50,1.45494143,0.04124857,2.754277651656052,TIME_EFFICIENCY,-0.28789482,-3.55528002,-0.0711056004,9.85677772,19.61090947,0.1971,0.3922,1.49761844,false,false,1.3844961745825022,TREND,BULLISH,0.95,mc-XRP/USD-mubcl3id-fo8iye,SHADOW,,,,,,,,,,0.0412485714285714,41.633189378274416,NaN,0.036081785380194104,BULLISH,0.641092242640454
spot-ETH/USD-mubcl4q5-kdfh,ETH/USD,intent-ETH/USD-mubcl4px-rtt4k0,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T14:35:49.423Z,2026-09-21T17:36:35.520Z,181,2740.781988,2747.565483,0.8168028,2237.8354725787676,2.01481056,2.01979726,4.03460782,50,2678.53571429,61.21428571,2.233460595480241,TIME_EFFICIENCY,5.54077771,1.50616989,0.0301233978,21.51296195,8.80675799,0.4303,0.1761,2740.781988,false,false,1.120598935940966,TREND,BULLISH,0.95,mc-ETH/USD-mubcl4ps-3om9c8,SHADOW,,,,,,,,,,61.21428571428559,44.9946046770106,NaN,0.0003649694976821984,BULLISH,1.8331176242162395
spot-XRP/USD-mubkfrgi-9gp4,XRP/USD,intent-XRP/USD-mubkfrg1-78iffo,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T18:15:35.876Z,2026-09-21T21:15:52.302Z,180,1.50929427,1.51740092,1186.72227308,1790.2654867256667,1.61200181,1.62066012,3.23266193,50,1.46644714,0.04213286,2.791560323090606,TIME_EFFICIENCY,9.62034212,6.38768018,0.12775360360000002,33.11635134,13.30822399,0.6623,0.2662,1.50929427,false,false,1.408673373861806,TREND,BULLISH,0.95,mc-XRP/USD-mubkfrfk-cx12ze,SHADOW,,,,,,,,,,0.04213285714285707,43.41655053488155,NaN,0.00928092703202775,BULLISH,1.3007075603022518
spot-XRP/USD-mubkh1r4-l1rh,XRP/USD,intent-XRP/USD-mubkh1qu-fh7mfq,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T18:16:35.873Z,2026-09-21T21:17:07.009Z,181,1.50929427,1.5260465950000002,1186.72227308,1790.2654867256667,1.61200181,1.62989414,3.24189595,50,1.46644714,0.04213286,2.791560323090606,TIME_EFFICIENCY,19.8803572,16.63846126,0.3327692252,33.11635134,13.30822399,0.6623,0.2662,1.50929427,false,false,1.408673373861806,TREND,BULLISH,0.95,mc-XRP/USD-mubkh1qj-ctqbec,SHADOW,,,,,,,,,,0.04213285714285707,43.41655053488155,NaN,0.00928092703202775,BULLISH,1.3007075603022518
spot-SOL/USD-mubna0ls-av33,SOL/USD,intent-SOL/USD-mubn7lgl-3kd06x,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T19:35:06.642Z,2026-09-21T22:36:06.772Z,181,118.309125,119.190375,16.72240803,1977.090301003344,1.78057212,1.79383508,3.5744072,50,115.24,2.99,2.527277587421934,TIME_EFFICIENCY,14.73662208,11.16221488,0.2232442976,27.10493312,7.00877927,0.5421,0.1402,118.309125,false,false,1.2699626231736327,TREND,BULLISH,0,mc-SOL/USD-mubna0l7-by8h5z,SHADOW,,,,,,,,,,2.990000000000001,50.6103208669146,NaN,0.008457017210034348,BULLISH,0.8521838074046632
spot-SOL/USD-muazca7i-fwpw,SOL/USD,intent-SOL/USD-muazca62-en3oua,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T08:25:01.618Z,2026-09-22T01:03:56.291Z,999,113.243963,117.45124500000001,20.7223209,2345.766725873296,2.11200997,2.19047615,4.302486119999999,50,110.78714286,2.41285714,2.130671760401038,TRAILING,87.18464772,82.8821616,1.657643232,138.55020426,0,2.771,0,113.243963,false,false,1.0762074678220985,TREND,BULLISH,0.9,mc-SOL/USD-muazca5m-xjf12q,SHADOW,,,,,,,,,,2.412857142857145,28.907061006700587,NaN,0.008833532087797275,BULLISH,1.0635042835804072
spot-SOL/USD-mubumoli-a25o,SOL/USD,intent-SOL/USD-mubumolb-k1ucoq,SPOT-1.0.0-20260812,SPOT_CANONICAL_V4,PULLBACK_CONTINUATION,2026-09-21T23:00:54.920Z,2026-09-22T01:15:54.054Z,135,119.53974,117.98098000000002,18.93939394,2262.8787878787894,2.0376092,2.01103943,4.04864863,50,116.84,2.64,2.2084705889438947,STRUCTURE_INVALIDATION,-29.5219697,-33.57061833,-0.6714123666,4.73977273,38.06325758,0.0948,0.7613,119.53974,false,false,1.105527638190954,TREND,BULLISH,0.95,mc-SOL/USD-mubumol2-ssvio,SHADOW,,,,,,,,,,2.6399999999999983,55.57925823876146,NaN,0.008369951872781013,BULLISH,0.8795453541927367
