clusterId,pair,setupTag,firstEntry,lastEntry,tradeCount,lotIds,signalIds
1,SOL/USD,PULLBACK_CONTINUATION,2026-09-21T08:25:01.618Z,2026-09-21T08:25:01.618Z,1,spot-SOL/USD-muazca7i-fwpw,intent-SOL/USD-muazca62-en3oua
2,XRP/USD,BREAKOUT_RETEST,2026-09-21T11:05:29.249Z,2026-09-21T11:06:24.785Z,2,spot-XRP/USD-mub52mxr-kacg|spot-XRP/USD-mub53tsf-dlrq,intent-XRP/USD-mub52mxi-mmeibv|intent-XRP/USD-mub53ts7-sfwses
3,ETH/USD,PULLBACK_CONTINUATION,2026-09-21T13:00:11.141Z,2026-09-21T13:00:11.141Z,1,spot-ETH/USD-mub9651f-dv29,intent-ETH/USD-mub9650u-sdy4ds
4,XRP/USD,PULLBACK_CONTINUATION,2026-09-21T14:35:47.930Z,2026-09-21T14:35:47.930Z,1,spot-XRP/USD-mubcl3ko-16xg,intent-XRP/USD-mubcl3kh-qefry3
5,ETH/USD,PULLBACK_CONTINUATION,2026-09-21T14:35:49.423Z,2026-09-21T14:35:49.423Z,1,spot-ETH/USD-mubcl4q5-kdfh,intent-ETH/USD-mubcl4px-rtt4k0
6,XRP/USD,PULLBACK_CONTINUATION,2026-09-21T18:15:35.876Z,2026-09-21T18:16:35.873Z,2,spot-XRP/USD-mubkfrgi-9gp4|spot-XRP/USD-mubkh1r4-l1rh,intent-XRP/USD-mubkfrg1-78iffo|intent-XRP/USD-mubkh1qu-fh7mfq
7,SOL/USD,PULLBACK_CONTINUATION,2026-09-21T19:35:06.642Z,2026-09-21T19:35:06.642Z,1,spot-SOL/USD-mubna0ls-av33,intent-SOL/USD-mubn7lgl-3kd06x
8,SOL/USD,PULLBACK_CONTINUATION,2026-09-21T23:00:54.920Z,2026-09-21T23:00:54.920Z,1,spot-SOL/USD-mubumoli-a25o,intent-SOL/USD-mubumolb-k1ucoq
9,TON/USD,PULLBACK_CONTINUATION,2026-09-22T01:16:00.052Z,2026-09-22T01:16:52.541Z,2,spot-TON/USD-mubzgejr-o5n|spot-TON/USD-mubzhj23-6s8y,intent-TON/USD-mubzgeji-rips2s|intent-TON/USD-mubzhj1l-3mioiu
10,ETH/USD,BREAKOUT_RETEST,2026-09-22T09:20:18.824Z,2026-09-22T09:20:18.824Z,1,spot-ETH/USD-mucgr8g5-2ehg,intent-ETH/USD-mucgowq0-9ns072
11,XRP/USD,BREAKOUT_RETEST,2026-09-22T09:25:43.645Z,2026-09-22T09:26:43.628Z,2,spot-XRP/USD-mucgy72z-a3nz|spot-XRP/USD-mucgzhd6-ius,intent-XRP/USD-mucgy72q-bi8i6x|intent-XRP/USD-mucgzhd0-p7hw62
12,ETH/USD,PULLBACK_CONTINUATION,2026-09-22T09:40:41.058Z,2026-09-22T09:40:41.058Z,1,spot-ETH/USD-muchhfgt-43s7,intent-ETH/USD-muchhe7d-9vtrea
13,XRP/USD,PULLBACK_CONTINUATION,2026-09-22T12:31:05.454Z,2026-09-22T12:32:01.006Z,2,spot-XRP/USD-mucnkkq4-tvl|spot-XRP/USD-mucnlrl8-dv1m,intent-XRP/USD-mucnkkpw-uluo4g|intent-XRP/USD-mucnlrkk-29bj98
14,SOL/USD,PULLBACK_CONTINUATION,2026-09-22T13:00:10.227Z,2026-09-22T13:01:10.303Z,2,spot-SOL/USD-mucolz00-9zh9|spot-SOL/USD-mucon9cr-a3d9,intent-SOL/USD-mucolyzs-2h4ghc|intent-SOL/USD-mucon9b9-767ar7
15,XRP/USD,BREAKOUT_RETEST,2026-09-22T14:40:12.362Z,2026-09-22T14:41:12.339Z,2,spot-XRP/USD-mucs6ma0-5to2|spot-XRP/USD-mucs7wk1-853p,intent-XRP/USD-mucs6m9p-h8ay50|intent-XRP/USD-mucs7wjv-e9xccm
16,BTC/USD,PULLBACK_CONTINUATION,2026-09-22T15:10:16.855Z,2026-09-22T15:10:16.855Z,1,spot-BTC/USD-muct9ams-8owk,intent-BTC/USD-muct9amj-w1hjln
17,ETH/USD,PULLBACK_CONTINUATION,2026-09-22T18:15:58.525Z,2026-09-22T18:16:58.595Z,2,spot-ETH/USD-muczw3lo-jj25|spot-ETH/USD-muczxdy7-k5gg,intent-ETH/USD-muczw3lg-7jb6s6|intent-ETH/USD-muczxdwr-tpo8gm
18,XRP/USD,PULLBACK_CONTINUATION,2026-09-23T01:05:49.537Z,2026-09-23T01:06:49.598Z,2,spot-XRP/USD-mudej65b-3soc|spot-XRP/USD-mudekgho-3271,intent-XRP/USD-mudej652-ho2m5h|intent-XRP/USD-mudekgfw-be9whr
19,BTC/USD,PULLBACK_CONTINUATION,2026-09-23T03:44:18.392Z,2026-09-23T03:44:18.392Z,1,spot-BTC/USD-mudk6z85-fnzn,intent-BTC/USD-mudk5xg7-dj4vhc
20,BTC/USD,PULLBACK_CONTINUATION,2026-09-23T04:38:10.958Z,2026-09-23T04:38:10.958Z,1,spot-BTC/USD-mudm49ho-f8ub,intent-BTC/USD-mudm49h2-a0x4f9
