lotId,pair,certifiedScope,openedAt,closedAt,currentPolicy,max1Policy,blockedBy,setupTag,riskUsd,netPnlUsd,rMultiple,mfeR,maeR,exitReason
spot-XRP/USD-mub53tsf-dlrq,XRP/USD,true,2026-09-21T11:06:24.785Z,2026-09-21T14:06:25.954Z,KEPT(max2),BLOCKED,spot-XRP/USD-mub52mxr-kacg,BREAKOUT_RETEST,50,-29.42695955,-0.588539191,0.044,0.5801,TIME_EFFICIENCY
spot-XRP/USD-mub52mxr-kacg,XRP/USD,true,2026-09-21T11:05:29.249Z,2026-09-21T14:06:25.970Z,KEPT,KEPT,,BREAKOUT_RETEST,50,-25.91259478,-0.5182518956,0.1142,0.5099,TIME_EFFICIENCY
spot-ETH/USD-mub9651f-dv29,ETH/USD,true,2026-09-21T13:00:11.141Z,2026-09-21T16:01:04.669Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,10.65266605,0.21305332100000002,0.4452,0.4158,TIME_EFFICIENCY
spot-XRP/USD-mubcl3ko-16xg,XRP/USD,true,2026-09-21T14:35:47.930Z,2026-09-21T17:36:34.565Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-3.55528002,-0.0711056004,0.1971,0.3922,TIME_EFFICIENCY
spot-ETH/USD-mubcl4q5-kdfh,ETH/USD,true,2026-09-21T14:35:49.423Z,2026-09-21T17:36:35.520Z,KEPT(max2),BLOCKED,spot-ETH/USD-mub9651f-dv29,PULLBACK_CONTINUATION,50,1.50616989,0.0301233978,0.4303,0.1761,TIME_EFFICIENCY
spot-XRP/USD-mubkfrgi-9gp4,XRP/USD,true,2026-09-21T18:15:35.876Z,2026-09-21T21:15:52.302Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,6.38768018,0.12775360360000002,0.6623,0.2662,TIME_EFFICIENCY
spot-XRP/USD-mubkh1r4-l1rh,XRP/USD,true,2026-09-21T18:16:35.873Z,2026-09-21T21:17:07.009Z,KEPT(max2),BLOCKED,spot-XRP/USD-mubkfrgi-9gp4,PULLBACK_CONTINUATION,50,16.63846126,0.3327692252,0.6623,0.2662,TIME_EFFICIENCY
spot-SOL/USD-mubna0ls-av33,SOL/USD,true,2026-09-21T19:35:06.642Z,2026-09-21T22:36:06.772Z,KEPT(max2),BLOCKED,spot-SOL/USD-muazca7i-fwpw,PULLBACK_CONTINUATION,50,11.16221488,0.2232442976,0.5421,0.1402,TIME_EFFICIENCY
spot-SOL/USD-muazca7i-fwpw,SOL/USD,true,2026-09-21T08:25:01.618Z,2026-09-22T01:03:56.291Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,82.8821616,1.657643232,2.771,0,TRAILING
spot-SOL/USD-mubumoli-a25o,SOL/USD,true,2026-09-21T23:00:54.920Z,2026-09-22T01:15:54.054Z,KEPT(max2),BLOCKED,spot-SOL/USD-muazca7i-fwpw,PULLBACK_CONTINUATION,50,-33.57061833,-0.6714123666,0.0948,0.7613,STRUCTURE_INVALIDATION
spot-TON/USD-mubzhj23-6s8y,TON/USD,false,2026-09-22T01:16:52.541Z,2026-09-22T02:15:10.979Z,KEPT(max2),BLOCKED,spot-TON/USD-mubzgejr-o5n,PULLBACK_CONTINUATION,50,-29.14533963,-0.5829067926,0.0521,0.4813,STRUCTURE_INVALIDATION
spot-TON/USD-mubzgejr-o5n,TON/USD,false,2026-09-22T01:16:00.052Z,2026-09-22T02:15:10.996Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-35.8200081,-0.716400162,0,0.6146,STRUCTURE_INVALIDATION
spot-ETH/USD-mucgr8g5-2ehg,ETH/USD,true,2026-09-22T09:20:18.824Z,2026-09-22T12:20:19.929Z,KEPT,KEPT,,BREAKOUT_RETEST,50,-7.88121622,-0.1576243244,0.2241,0.1596,TIME_EFFICIENCY
spot-XRP/USD-mucgy72z-a3nz,XRP/USD,true,2026-09-22T09:25:43.645Z,2026-09-22T12:26:13.768Z,KEPT,KEPT,,BREAKOUT_RETEST,50,-4.28798827,-0.0857597654,0.1783,0.2759,TIME_EFFICIENCY
spot-XRP/USD-mucgzhd6-ius,XRP/USD,true,2026-09-22T09:26:43.628Z,2026-09-22T12:27:13.797Z,KEPT(max2),BLOCKED,spot-XRP/USD-mucgy72z-a3nz,BREAKOUT_RETEST,50,-4.66240382,-0.09324807639999999,0.1544,0.2998,TIME_EFFICIENCY
spot-ETH/USD-muchhfgt-43s7,ETH/USD,true,2026-09-22T09:40:41.058Z,2026-09-22T12:40:53.609Z,KEPT(max2),BLOCKED,spot-ETH/USD-mucgr8g5-2ehg,PULLBACK_CONTINUATION,50,0.5800771,0.011601542,0.2305,0.1468,TIME_EFFICIENCY
spot-XRP/USD-mucnlrl8-dv1m,XRP/USD,true,2026-09-22T12:32:01.006Z,2026-09-22T14:32:39.024Z,KEPT(max2),BLOCKED,spot-XRP/USD-mucnkkq4-tvl,PULLBACK_CONTINUATION,50,-8.38662004,-0.16773240080000001,1.0938,0.1285,BREAK_EVEN
spot-XRP/USD-mucnkkq4-tvl,XRP/USD,true,2026-09-22T12:31:05.454Z,2026-09-22T14:32:39.045Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-5.89559264,-0.11791185280000001,1.1436,0.0787,BREAK_EVEN
spot-SOL/USD-mucon9cr-a3d9,SOL/USD,true,2026-09-22T13:01:10.303Z,2026-09-22T14:45:47.745Z,KEPT(max2),BLOCKED,spot-SOL/USD-mucolz00-9zh9,PULLBACK_CONTINUATION,50,-27.88674845,-0.557734969,0.1697,0.5513,STRUCTURE_INVALIDATION
spot-SOL/USD-mucolz00-9zh9,SOL/USD,true,2026-09-22T13:00:10.227Z,2026-09-22T14:45:47.797Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-27.67691607,-0.5535383214,0.1739,0.5471,STRUCTURE_INVALIDATION
spot-XRP/USD-mucs6ma0-5to2,XRP/USD,true,2026-09-22T14:40:12.362Z,2026-09-22T16:45:37.174Z,KEPT,KEPT,,BREAKOUT_RETEST,50,7.4891285,0.14978257,0.8406,0.0823,STRUCTURE_INVALIDATION
spot-XRP/USD-mucs7wk1-853p,XRP/USD,true,2026-09-22T14:41:12.339Z,2026-09-22T16:45:37.195Z,KEPT(max2),BLOCKED,spot-XRP/USD-mucs6ma0-5to2,BREAKOUT_RETEST,50,3.0088236,0.060176472,0.7511,0.1718,STRUCTURE_INVALIDATION
spot-BTC/USD-muct9ams-8owk,BTC/USD,true,2026-09-22T15:10:16.855Z,2026-09-22T18:10:27.186Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,2.9616391,0.059232782000000005,0.3672,0.1596,TIME_EFFICIENCY
spot-ETH/USD-muczw3lo-jj25,ETH/USD,true,2026-09-22T18:15:58.525Z,2026-09-22T21:16:42.407Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-16.0191076,-0.32038215200000003,0.1939,0.2366,TIME_EFFICIENCY
spot-ETH/USD-muczxdy7-k5gg,ETH/USD,true,2026-09-22T18:16:58.595Z,2026-09-22T21:17:42.404Z,KEPT(max2),BLOCKED,spot-ETH/USD-muczw3lo-jj25,PULLBACK_CONTINUATION,50,-15.50484054,-0.3100968108,0.1662,0.2643,TIME_EFFICIENCY
spot-XRP/USD-mudej65b-3soc,XRP/USD,true,2026-09-23T01:05:49.537Z,2026-09-23T04:06:06.063Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,14.86498654,0.2972997308,0.5387,0.2771,TIME_EFFICIENCY
spot-XRP/USD-mudekgho-3271,XRP/USD,true,2026-09-23T01:06:49.598Z,2026-09-23T04:07:06.042Z,KEPT(max2),BLOCKED,spot-XRP/USD-mudej65b-3soc,PULLBACK_CONTINUATION,50,16.94383844,0.3388767688,0.5387,0.2771,TIME_EFFICIENCY
spot-BTC/USD-mudm49ho-f8ub,BTC/USD,true,2026-09-23T04:38:10.958Z,2026-09-23T06:15:55.089Z,KEPT(max2),BLOCKED,spot-BTC/USD-mudk6z85-fnzn,PULLBACK_CONTINUATION,50,-43.8867702,-0.877735404,0,0.8352,STRUCTURE_INVALIDATION
spot-BTC/USD-mudk6z85-fnzn,BTC/USD,true,2026-09-23T03:44:18.392Z,2026-09-23T06:15:55.109Z,KEPT,KEPT,,PULLBACK_CONTINUATION,50,-21.60148281,-0.4320296562,0.4468,0.3918,STRUCTURE_INVALIDATION
