scope,fold,pair,policy,trades,net,pf,expectancy,maxDD,fees
HISTORICAL,0,BTC/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,ETH/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,SOL/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,XRP/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,ALL,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,BTC/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,ETH/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,SOL/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,XRP/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,0,ALL,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,1,BTC/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,1,ETH/USD,CURRENT_MAX2,4,40.11,1.724,10.028,36.55,27.86
HISTORICAL,1,SOL/USD,CURRENT_MAX2,1,-34.70,0.000,-34.700,34.70,8.42
HISTORICAL,1,XRP/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,1,ALL,CURRENT_MAX2,5,5.41,1.060,1.082,71.25,36.28
HISTORICAL,1,BTC/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,1,ETH/USD,MAX1,4,40.11,1.724,10.028,36.55,27.86
HISTORICAL,1,SOL/USD,MAX1,1,-34.70,0.000,-34.700,34.70,8.42
HISTORICAL,1,XRP/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
HISTORICAL,1,ALL,MAX1,5,5.41,1.060,1.082,71.25,36.28
HISTORICAL,2,BTC/USD,CURRENT_MAX2,7,177.71,3.209,25.387,68.22,36.99
HISTORICAL,2,ETH/USD,CURRENT_MAX2,7,4.90,1.096,0.700,21.78,31.99
HISTORICAL,2,SOL/USD,CURRENT_MAX2,22,204.53,1.805,9.297,136.67,86.05
HISTORICAL,2,XRP/USD,CURRENT_MAX2,11,-95.17,0.624,-8.652,217.63,29.57
HISTORICAL,2,ALL,CURRENT_MAX2,47,291.96,1.457,6.212,275.98,184.61
HISTORICAL,2,BTC/USD,MAX1,6,102.19,2.270,17.032,68.22,32.09
HISTORICAL,2,ETH/USD,MAX1,5,-5.99,0.830,-1.197,21.31,22.35
HISTORICAL,2,SOL/USD,MAX1,15,251.77,2.691,16.785,69.60,59.94
HISTORICAL,2,XRP/USD,MAX1,9,-20.68,0.884,-2.298,160.41,26.04
HISTORICAL,2,ALL,MAX1,35,327.30,1.738,9.351,203.72,140.41
PRODUCTION_030,0,BTC/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
PRODUCTION_030,0,ETH/USD,CURRENT_MAX2,2,-25.15,0.000,-12.574,25.15,13.89
PRODUCTION_030,0,SOL/USD,CURRENT_MAX2,4,-30.99,0.378,-7.747,49.82,23.07
PRODUCTION_030,0,XRP/USD,CURRENT_MAX2,1,-24.02,0.000,-24.018,24.02,4.53
PRODUCTION_030,0,ALL,CURRENT_MAX2,7,-80.16,0.190,-11.451,98.99,41.49
PRODUCTION_030,0,BTC/USD,MAX1,0,0.00,0.000,0.000,0.00,0.00
PRODUCTION_030,0,ETH/USD,MAX1,2,-25.15,0.000,-12.574,25.15,13.89
PRODUCTION_030,0,SOL/USD,MAX1,3,-41.97,0.158,-13.988,49.82,16.87
PRODUCTION_030,0,XRP/USD,MAX1,1,-24.02,0.000,-24.018,24.02,4.53
PRODUCTION_030,0,ALL,MAX1,6,-91.13,0.079,-15.189,98.99,35.29
PRODUCTION_030,1,BTC/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
PRODUCTION_030,1,ETH/USD,CURRENT_MAX2,4,40.11,1.724,10.028,36.55,27.86
PRODUCTION_030,1,SOL/USD,CURRENT_MAX2,1,-34.70,0.000,-34.700,34.70,8.42
PRODUCTION_030,1,XRP/USD,CURRENT_MAX2,0,0.00,0.000,0.000,0.00,0.00
